year,month,payload_mass,core_reused,latitude,longitude,stages,cost_per_launch,has_capsule,has_crew,success_rate,locality_Omelek Island,locality_Vandenberg Space Force Base,region_Florida,region_Marshall Islands,country_United States,success
2020,12,0.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,1,3500.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,1,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,1,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,2,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,2,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,3,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,3,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,3,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,3,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,4,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,4,0.0,1,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2021,4,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,5,15600.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,5,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,5,13632.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,5,15600.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,6,3328.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2021,6,7000.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,6,3681.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,6,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,8,0.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,9,15600.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2021,9,0.0,1,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2021,11,12519.0,1,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2021,11,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,11,670.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2021,12,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,12,330.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2021,12,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2021,12,3500.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2021,12,0.0,0,28.6080585,-80.6039558,2,50000000,1,0,1.0,False,False,True,False,True,True
2022,1,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,1,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,1,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,1,2240.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,2,0.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,2,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,2,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,2,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,3,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,3,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,3,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,4,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,4,0.0,1,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2022,4,0.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,4,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,4,0.0,1,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2022,4,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,5,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,5,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,5,13260.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,5,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,5,0.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,6,3938.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,6,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,6,2200.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,6,700.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,6,3500.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,7,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,7,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,
2022,7,0.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,7,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,7,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,7,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,8,678.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,8,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,8,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,8,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,8,13260.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
